signal_date,entry_date,exit_date,symbol,side,decision_price,entry_price,exit_price,return_pct,profit_usd,score,adx,z_dist,trend4h_slope,market_score,sector_score,rs_score,avg_dollar_vol_m,month
2025-03-28,2025-03-31,2025-04-04,APP,SELL,272.3800048828125,255.92999267578125,219.3699951171875,14.285155552248579,71.4257777612429,0.4312,17.75502612855826,-1.19,-0.0046,0.6,0.4,1.0,3195.1,2025-03
2025-03-31,2025-04-01,2025-04-07,AON,BUY,399.0899963378906,398.4100036621094,364.3500061035156,-8.548981512893928,-42.744907564469635,0.3192,22.41951014860603,0.58,0.002,0.2,0.6,1.0,510.0,2025-03
2025-04-01,2025-04-02,2025-04-08,BR,BUY,244.72000122070312,242.6300048828125,217.22000122070312,-10.472737563675242,-52.36368781837621,0.3092,19.237426618099466,1.67,0.0023,0.0,0.2,1.0,146.8,2025-04
2025-04-03,2025-04-04,2025-04-10,COF,SELL,164.0399932861328,156.89999389648438,162.16000366210938,-3.352460146745015,-16.762300733725073,0.4451,29.518754323416285,-1.7,-0.0024,0.8,0.4,1.0,921.4,2025-04
2025-04-03,2025-04-04,2025-04-10,CDNS,SELL,248.91000366210938,243.52999877929688,254.02000427246094,-4.307479795403278,-21.53739897701639,0.321,21.804357705997113,-0.97,-0.0032,0.8,0.8,0.0,580.3,2025-04
2025-04-10,2025-04-11,2025-04-17,CCL,SELL,17.600000381469727,17.520000457763672,17.989999771118164,-2.682644412524661,-13.413222062623305,0.7268,34.63268330523745,-1.18,-0.007,1.0,1.0,1.0,613.5,2025-04
2025-04-10,2025-04-11,2025-04-17,BX,SELL,127.44999694824219,125.91999816894531,130.38999938964844,-3.549873956244646,-17.74936978122323,0.6668,31.401735224300328,-1.24,-0.0069,1.0,0.6,1.0,897.4,2025-04
2025-04-10,2025-04-11,2025-04-17,ADI,SELL,178.36000061035156,172.1300048828125,176.27000427246094,-2.4051584687207685,-12.025792343603843,0.6473,23.028783924575766,-1.35,-0.0056,1.0,1.0,1.0,918.1,2025-04
2025-04-10,2025-04-11,2025-04-17,CMCSA,SELL,31.565135955810547,31.82755470275879,31.874414443969727,-0.147230101867913,-0.7361505093395649,0.5664,20.464082572941773,-1.35,-0.0035,1.0,0.8,1.0,1028.0,2025-04
2025-04-10,2025-04-11,2025-04-17,COR,BUY,279.1499938964844,277.8399963378906,286.739990234375,3.203280310175642,16.01640155087821,0.3921,46.122617364299536,1.0,0.0039,0.0,0.0,1.0,591.1,2025-04
2025-04-11,2025-04-14,2025-04-21,DG,BUY,89.04000091552734,88.8499984741211,95.61000061035156,7.608331178755644,38.04165589377822,0.4598,33.236923485469354,0.78,0.0035,0.0,0.2,1.0,498.3,2025-04
2025-04-11,2025-04-14,2025-04-21,BRK-B,BUY,524.1099853515625,531.0,506.9200134277344,-4.534837395906897,-22.674186979534486,0.3863,33.53256466876292,0.51,0.0025,0.0,0.4,1.0,3398.4,2025-04
2025-04-11,2025-04-14,2025-04-21,AZO,BUY,3659.60009765625,3671.2900390625,3569.239990234375,-2.7796781987343198,-13.898390993671597,0.3245,27.3110761740616,0.21,0.0022,0.0,0.0,1.0,640.0,2025-04
2025-04-11,2025-04-14,2025-04-21,CNP,BUY,36.58000183105469,36.630001068115234,36.4900016784668,-0.3821987047941985,-1.9109935239709923,0.3027,25.04444512513094,0.82,0.0035,0.0,0.0,1.0,255.6,2025-04
2025-04-14,2025-04-15,2025-04-22,AMZN,SELL,182.1199951171875,181.41000366210938,173.17999267578125,4.536690821999638,22.683454109998195,0.6567,30.003462656372328,-0.69,-0.0044,1.0,1.0,1.0,11378.0,2025-04
2025-04-14,2025-04-15,2025-04-22,DG,BUY,90.30999755859375,90.0,96.79000091552734,7.544445461697048,37.722227308485245,0.4411,32.77062973870465,1.03,0.0044,0.0,0.2,1.0,500.2,2025-04
